Number,Name,Area
101,Restroom,120
102,RestRoom,118
103,Rest_Room,121
104,RR,95
105,Restroom 105,119
106,Men's Restroom,210
107,Mens Restroom,208
108,MR,96
109,Women's Restroom,215
110,WR,97
111,W Room,99
112,Unisex Restroom,80
113,NB,82
114,Restrooms,130
115,Toilet,60
116,Mens Toilet,205
117,Ladies,212
118,Gents,209
119,E Room,88
120,Corridor,400
121,Corridor 2,380
122,Stair 1,150
123,Electrical Room,90
124,Storage,70
125,Office,140
126,Conference 101,300
127,Janitor,55
128,Break Room,180
129,Lobby,500
130,Mechanical,260
